ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Butler County, AL",46.00000000000001,19642,Butler County,Alabama,AL,3770.0
"Butler County, IA",27.6,14533,Butler County,Iowa,IA,1638.0
"Butler County, KS",64.4,65027,Butler County,Kansas,KS,962.0
"Butler County, KY",27.6,12683,Butler County,Kentucky,KY,1492.0
"Butler County, MO",50.60000000000001,42380,Butler County,Missouri,MO,2814.0
"Butler County, NE",18.4,8028,Butler County,Nebraska,NE,636.0
"Butler County, OH",372.60000000000036,373162,Butler County,Ohio,OH,4890.0
"Butler County, PA",206.99999999999983,184417,Butler County,Pennsylvania,PA,8865.0
"Butte County, CA",239.1999999999998,228315,Butte County,California,CA,16663.0
"Butte County, ID",9.2,2609,Butte County,Idaho,ID,571.0
"Butte County, SD",13.799999999999999,10222,Butte County,South Dakota,SD,376.0
"Butts County, GA",18.4,21683,Butts County,Georgia,GA,6746.0
"Cabarrus County, NC",174.79999999999987,210806,Cabarrus County,North Carolina,NC,2731.0
"Cabell County, WV",137.99999999999991,90549,Cabell County,West Virginia,WV,352.0
"Cache County, UT",124.19999999999993,123410,Cache County,Utah,UT,582.0
"Caddo County, OK",41.400000000000006,27205,Caddo County,Oklahoma,OK,1418.0
"Caddo Parish, LA",299.0,239634,Caddo Parish,Louisiana,LA,5194.0
"Calaveras County, CA",50.60000000000001,45318,Calaveras County,California,CA,16663.0
"Calcasieu Parish, LA",206.99999999999983,200868,Calcasieu Parish,Louisiana,LA,5194.0
"Caldwell County, KY",18.4,12684,Caldwell County,Kentucky,KY,1492.0
"Caldwell County, MO",13.799999999999999,8990,Caldwell County,Missouri,MO,2814.0
"Caldwell County, NC",82.79999999999998,81574,Caldwell County,North Carolina,NC,2731.0
"Caldwell County, TX",41.400000000000006,41935,Caldwell County,Texas,TX,17706.0
"Caldwell Parish, LA",18.4,9457,Caldwell Parish,Louisiana,LA,5194.0
"Caledonia County, VT",50.60000000000001,29384,Caledonia County,Vermont,VT,62.0
"Calhoun County, AL",147.1999999999999,112459,Calhoun County,Alabama,AL,3770.0
"Calhoun County, AR",13.799999999999999,5102,Calhoun County,Arkansas,AR,1622.0
"Calhoun County, FL",18.4,12926,Calhoun County,Florida,FL,16059.0
"Calhoun County, GA",13.799999999999999,4705,Calhoun County,Georgia,GA,6746.0
"Calhoun County, IA",23.0,9193,Calhoun County,Iowa,IA,1638.0
"Calhoun County, IL",13.799999999999999,4800,Calhoun County,Illinois,IL,8459.0
"Calhoun County, MI",183.99999999999986,132313,Calhoun County,Michigan,MI,6581.0
"Calhoun County, MS",27.6,14411,Calhoun County,Mississippi,MS,3124.0
"Calhoun County, SC",18.4,14520,Calhoun County,South Carolina,SC,3620.0
